Place;ProductId;ProductName;UmId;UmName;Month;Year;Price
Ankara;493;Water - Retail;100;Cubic meter;3;2021;52.435
Ankara;493;Water - Retail;100;Cubic meter;4;2021;52.435
Ankara;493;Water - Retail;100;Cubic meter;5;2021;52.435
Ankara;502;Cocoa (powder) - Retail;5;KG;1;2021;69.585
Ankara;502;Cocoa (powder) - Retail;5;KG;2;2021;701.594
Ankara;502;Cocoa (powder) - Retail;5;KG;3;2021;743.685
Ankara;502;Cocoa (powder) - Retail;5;KG;4;2021;769.304
Ankara;502;Cocoa (powder) - Retail;5;KG;5;2021;771.253
Istanbul;52;Rice - Retail;5;KG;1;2021;137.225
Istanbul;52;Rice - Retail;5;KG;2;2021;136.795
Istanbul;52;Rice - Retail;5;KG;3;2021;136.267
Istanbul;52;Rice - Retail;5;KG;4;2021;13.774
